Brand,Product,Deal Price,Promotion Effectivity,Aisle,Grocery Store
"
                        Valle della Rosa
                    ",Italian Red Wine,$11.62 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ",Italian White Wine,$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ","Italian White Wine, Splendido",$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Budweiser
                    ",Blonde Lager Beer,$42.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Coors Light
                    ",Light Lager Beer,2 /$62.98,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Coors Light
                    ",Light Lager Beer,2 /$62.98,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Smoky Bay
                    ",Australian Red Wine,$11.24 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ",French White Wine,$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Budweiser
                    ",Blonde Lager Beer,$20.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Smoky Bay
                    ",Australian Red Wine,$11.24 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bud Light
                    ",Light Blonde Lager Beer,$42.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ",French Red Wine,$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ","Italian Red Wine, Glissando",$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Smoky Bay
                    ",Australian White Wine,$11.24 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ",Italian Rosé Wine,$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ","French Rosé Wine, Gris de Grenache",$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Smoky Bay
                    ",Australian White Wine,$11.24 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Rickard's
                    ",Irish-Style Red Ale Beer,$21.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Archibald
                    ","Assorted Beer Pack, The Classics",$22.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Stella Artois
                    ",Belgian Blonde Lager Beer,2 /$41.98,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Budweiser
                    ",Blonde Lager Beer,$20.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Rickard's
                    ","Irish-Style Red Ale, Red",$21.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Molson
                    ","Lager Beer, Dry",$42.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Smoky Bay
                    ",Australian Red Wine,$11.24 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Archibald
                    ","Assorted Beer Pack, Hops Mix Pack",$22.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Double Vie
                    ","Canadian Red Wine, Oakyard Selection",$10.27 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ",French Red Wine,$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ",French Red Wine,$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Maison Ladore
                    ",American White Wine,$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Valle della Rosa
                    ",Italian Red Wine,$11.62 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Smoky Bay
                    ",Australian White Wine,$11.24 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Stella Artois
                    ",Belgian Blonde Lager Beer,2 /$41.98,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Archibald
                    ","West Coast IPA Beer, La belle mer",$22.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Corona Extra
                    ",Mexican Lager Beer,2 /$41.98,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Molson
                    ","Light Lager Beer, Ultra",$21.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Corona Extra
                    ",Mexican Lager Beer,2 /$41.98,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Stella Artois
                    ",Belgian Blonde Lager Beer,2 /$41.98,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Cidrerie Lacroix
                    ",Lot 300 Pineapple Flavoured Sparkling Cider,6 /$18.00,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Archibald
                    ","Strong IPA Beer, La ciboire",$22.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Sleeman
                    ","Light Blonde Beer, Clear 2.0",$42.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ",Spanish Red Wine,$11.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ",Canadian White Wine,$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Coors Seltzer
                    ","Alcoholic Malt Beverage Variety Pack, Splash Pack",$22.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Vizzy
                    ","Alcoholic Malt Beverage Variety Pack, Lemonade",$22.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Miller Lite
                    ",Light Pilsner Beer,$42.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Vizzy
                    ","Alcoholic Malt Beverage Variety Pack, Signature",$22.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Coors
                    ","Lager Beer, Original",$21.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Keep Calm
                    ","Canadian White Wine, & Laugh",$41.49 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Blue Moon
                    ","Light  White Beer Brewed with Tangerine Peel, Light Sky",$23.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Sleeman
                    ","Amber Lager Beer, Honey Brown",$20.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ","Organic Italian Red Wine, Rosso",$12.97 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Cidrerie Lacroix
                    ","Lot 300 Rosé Sparkling Cider, Lot 300",6 /$18.00,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Cidrerie Lacroix
                    ","Sparkling Cider, Lot 300",6 /$18.00,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Sleeman
                    ","Lime Flavoured Light Beer, Clear 2.0",$20.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Sleeman
                    ","Beer Assortment, Clear 2.0",$20.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Archibald
                    ","Lager Beer, La bopère",$22.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Archibald
                    ","Lager Beer, La bopère",6 /$18.00,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Corona Extra
                    ","Light Mexican Lager Beer, Light",2 /$41.98,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Corona Extra
                    ","Light Mexican Lager Beer, Light",2 /$41.98,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Sleeman
                    ","Cream Ale, Cracked Canoe",$20.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Molson
                    ","Light Lager Beer, Ultra",$42.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Bù
                    ",Organic Spanish White Wine,$11.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Sleeman
                    ","Pineapple Flavoured Beer, Clear 2.0",$20.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
"
                        Molson
                    ","Mimosa Flavoured Alcoholic Sparkling Water, Vizzy",$22.99 ea.,"
Valid until Dec 6, 2023
",Beer & Wine,Metro
